gender,proficiency,education,What does an app permission allow?,"When installing a new app, what should you do first?",Why should a flashlight app not need access to your contacts?,Which app should be allowed microphone access?,Why is it risky to allow camera and microphone permissions unnecessarily?,Which app genuinely needs location permission?,You gave location access to a shopping app. What might happen?,What is “permission creep” in mobile apps?,Which permission is most sensitive for privacy and identity theft?,What is the best habit for managing app permissions on your phone?
Female,School,O/L,An app to access specific parts of your phone,Give all permissions,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,O/L,Change your wallpaper,Check what permissions it asks for,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,School,Degree,An app to access specific parts of your phone,Check what permissions it asks for,It drains battery,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,Degree,Send you emails,Give all permissions,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,School,Degree,Speed up your phone,Check what permissions it asks for,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Male,School,Degree,An app to access specific parts of your phone,Check what permissions it asks for,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,You get more accurate delivery estimates,Apps using small icons,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,HND,Speed up your phone,Check what permissions it asks for,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,You get more accurate delivery estimates,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,Degree,An app to access specific parts of your phone,Give all permissions,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,An app using too much battery,Contacts and call logs,Review and revoke unused permissions regularly
Male,School,O/L,Send you emails,Check what permissions it asks for,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,An app using too much battery,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,Degree,An app to access specific parts of your phone,Check what permissions it asks for,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,Degree,An app to access specific parts of your phone,Give all permissions,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Male,School,A/L,Send you emails,Give all permissions,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,Apps using small icons,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,A/L,An app to access specific parts of your phone,Give all permissions,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,Degree,Speed up your phone,Check what permissions it asks for,It’s unrelated and may misuse your data,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,You get more accurate delivery estimates,An app using too much battery,Contacts and call logs,Review and revoke unused permissions regularly
Female,School,O/L,An app to access specific parts of your phone,Give all permissions,It drains battery,Notes app,Apps can record or watch without consent,Maps or delivery apps,You get more accurate delivery estimates,An app using too much battery,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,HND,Speed up your phone,Check what permissions it asks for,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Male,School,Degree,Speed up your phone,Give all permissions,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,Apps freezing frequently,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,O/L,An app to access specific parts of your phone,Check what permissions it asks for,It drains battery,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,Apps using small icons,Contacts and call logs,Review and revoke unused permissions regularly
Female,School,Degree,Speed up your phone,Give all permissions,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,Apps freezing frequently,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,O/L,An app to access specific parts of your phone,Give all permissions,It makes the light too bright,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,App stops working,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Male,High Education,A/L,Send you emails,Check what permissions it asks for,It drains battery,Voice recorder or call app,Apps can record or watch without consent,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Review and revoke unused permissions regularly
Female,High Education,A/L,Speed up your phone,Check what permissions it asks for,It drains battery,Voice recorder or call app,Apps might take selfies,Maps or delivery apps,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Vibration control,Give all apps full access
Female,School,Degree,Send you emails,Use it immediately,It’s unrelated and may misuse your data,Voice recorder or call app,It improves the phone’s performance,Video player,App stops working,Apps using small icons,Font size access,Turn off notifications
Male,High Education,Degree,Change your wallpaper,Check what permissions it asks for,It’s unrelated and may misuse your data,Weather app,Apps can record or watch without consent,Clock,You lose phone signal,An app using too much battery,Flashlight,Restart your phone weekly
Male,High Education,Degree,Change your wallpaper,Restart your phone,It’s unrelated and may misuse your data,Weather app,It slows down the app,Video player,App stops working,An app using too much battery,Font size access,Turn off notifications
Female,High Education,A/L,Speed up your phone,Use it immediately,It makes the light too bright,Voice recorder or call app,It improves the phone’s performance,Clock,It starts tracking your movement for targeted ads,Apps freezing frequently,Vibration control,Turn off notifications
Female,School,O/L,Change your wallpaper,Check what permissions it asks for,It lowers phone speed,Notes app,Apps can record or watch without consent,Clock,You get more accurate delivery estimates,Apps using small icons,Vibration control,Review and revoke unused permissions regularly
Male,School,A/L,Change your wallpaper,Check what permissions it asks for,It drains battery,Weather app,Apps can record or watch without consent,Clock,You get more accurate delivery estimates,An app using too much battery,Flashlight,Turn off notifications
Male,School,Degree,Change your wallpaper,Use it immediately,It makes the light too bright,Notes app,It slows down the app,Gallery,It starts tracking your movement for targeted ads,Apps using small icons,Vibration control,Restart your phone weekly
Male,High Education,A/L,Change your wallpaper,Restart your phone,It makes the light too bright,Notes app,Apps might take selfies,Maps or delivery apps,App stops working,Apps freezing frequently,Vibration control,Review and revoke unused permissions regularly
Male,School,Degree,Send you emails,Use it immediately,It drains battery,Calculator,It improves the phone’s performance,Gallery,You lose phone signal,Apps using small icons,Flashlight,Give all apps full access
Male,School,A/L,An app to access specific parts of your phone,Check what permissions it asks for,It drains battery,Weather app,Apps can record or watch without consent,Video player,App stops working,App gradually requesting more access over time,Font size access,Give all apps full access
Female,School,Degree,Speed up your phone,Use it immediately,It makes the light too bright,Weather app,It improves the phone’s performance,Clock,App stops working,An app using too much battery,Font size access,Give all apps full access
Female,High Education,O/L,Send you emails,Restart your phone,It makes the light too bright,Notes app,It slows down the app,Video player,It starts tracking your movement for targeted ads,An app using too much battery,Flashlight,Restart your phone weekly
Male,School,HND,An app to access specific parts of your phone,Use it immediately,It makes the light too bright,Weather app,Apps might take selfies,Clock,You get more accurate delivery estimates,Apps freezing frequently,Flashlight,Turn off notifications
Male,School,Degree,Send you emails,Restart your phone,It lowers phone speed,Notes app,Apps can record or watch without consent,Clock,You get more accurate delivery estimates,An app using too much battery,Flashlight,Restart your phone weekly
Female,High Education,Degree,Change your wallpaper,Check what permissions it asks for,It drains battery,Notes app,It improves the phone’s performance,Video player,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Contacts and call logs,Restart your phone weekly
Female,School,O/L,An app to access specific parts of your phone,Use it immediately,It makes the light too bright,Calculator,Apps might take selfies,Clock,App stops working,App gradually requesting more access over time,Vibration control,Review and revoke unused permissions regularly
Male,High Education,HND,Change your wallpaper,Check what permissions it asks for,It makes the light too bright,Notes app,It slows down the app,Video player,It starts tracking your movement for targeted ads,App gradually requesting more access over time,Font size access,Restart your phone weekly
Male,School,Degree,Change your wallpaper,Check what permissions it asks for,It makes the light too bright,Weather app,It slows down the app,Maps or delivery apps,App stops working,Apps freezing frequently,Vibration control,Review and revoke unused permissions regularly
Male,High Education,Degree,Speed up your phone,Give all permissions,It makes the light too bright,Notes app,It slows down the app,Maps or delivery apps,You get more accurate delivery estimates,Apps using small icons,Vibration control,Turn off notifications
